Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
spotify:track:64awLoKSPoQ5M6YulMsyCe,家族になろうよ,spotify:artist:5FGlhIQqewJRV8fx24toG0,福山雅治,spotify:album:6eOsDrzZilG8Knem5v8LNE,家族になろうよ／fighting pose,spotify:artist:5FGlhIQqewJRV8fx24toG0,福山雅治,2011-08-31,https://i.scdn.co/image/ab67616d0000b273ec8033df3e6a948f71cddc1c,1,1,307813,,false,56,JPPO01147714,,2025-08-26T11:32:55Z
spotify:track:5xa3zRbvV7Zd2ieiA1Fb0F,トイレの神様,spotify:artist:2alEVA0XivZV9EazBtP6of,植村花菜,spotify:album:0VG5ZaIX23atHbvTGQNz2r,The Best Songs(通常盤),spotify:artist:2alEVA0XivZV9EazBtP6of,植村花菜,2015-09-30,https://i.scdn.co/image/ab67616d0000b273a0e0faf7884c180d1f9b9b51,1,14,592613,https://p.scdn.co/mp3-preview/96130ed026a5f40113af36853955d5fa81b62a63?cid=9950ac751e34487dbbe027c4fd7f8e99,false,38,JPKI01010602,,2025-08-26T11:25:02Z
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:1NAmidJlEaVgA3MpcPFYGq,Lover,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,2019-08-23,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,1,2,178426,,false,88,USUG11901472,,2025-08-07T13:48:40Z
spotify:track:37sINbJZcFdHFAsVNsPq1i,Superheroes,spotify:artist:3AQRLZ9PuTAozP28Skbq8V,The Script,spotify:album:6yd9yk8nFcHalXzy7mgaDx,No Sound Without Silence,spotify:artist:3AQRLZ9PuTAozP28Skbq8V,The Script,2014-09-15,https://i.scdn.co/image/ab67616d0000b27359d2079e141301ab89b6cbc5,1,2,245466,https://p.scdn.co/mp3-preview/195c70c6cda7717f5db543a114586bb52b1eced5?cid=9950ac751e34487dbbe027c4fd7f8e99,false,76,GBARL1400978,,2025-05-30T03:16:16Z
spotify:track:3DamFFqW32WihKkTVlwTYQ,Fireflies,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6,Owl City,spotify:album:3vf65wfk1EEjVhy6BjENsS,Ocean Eyes,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6,Owl City,2009-01-01,https://i.scdn.co/image/ab67616d0000b273785d4e702802da500fc78b32,1,9,228346,,false,77,USUM70972068,,2025-05-30T03:05:06Z
spotify:track:1NNAI51EuoRWw1ydX1zV7S,Daylight,spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5,spotify:album:6ijGiBcBfUwkoyHn5VUHU2,Overexposed Track By Track,spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5,2012-01-01,https://i.scdn.co/image/ab67616d0000b273fc8633e22a7dba6aab817bff,1,6,225066,,false,72,USUM71204771,,2025-05-30T02:37:43Z
spotify:track:2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),"spotify:artist:6lB8vOoI4DRrrVxXwuV19c, spotify:artist:7eCmccnRwPmRnWPw61x6jM","Mike Perry, shy martin",spotify:album:4pgNeQfSctryAw4e0uESHe,The Ocean (feat. Shy Martin),spotify:artist:6lB8vOoI4DRrrVxXwuV19c,Mike Perry,2016-04-15,https://i.scdn.co/image/ab67616d0000b2737f401862bfe87b552a75308d,1,1,183414,https://p.scdn.co/mp3-preview/515b1e8609dc4b1bb3338b4717b044e9762ed42e?cid=9950ac751e34487dbbe027c4fd7f8e99,false,66,SE3AA1600005,,2025-05-27T06:08:46Z
spotify:track:4CznlctarxgWvy3NoMFfMH,Lonely Together,"spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Avicii, Rita Ora",spotify:album:5VPw18vPykfaX5s3jiS0Ox,Avicii Forever,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,Avicii,2025-05-16,https://i.scdn.co/image/ab67616d0000b273d586098ba36b54d4167de337,1,9,181730,,false,66,SE5R71700108,,2025-05-27T05:59:07Z
spotify:track:2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,spotify:album:3RDqXDc1bAETps54MSSOW0,Bangerz (Deluxe Version),spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,2013-10-04,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,1,2,231240,https://p.scdn.co/mp3-preview/2832db9492a17af6654d86be3ae07d4baa1f55ab?cid=9950ac751e34487dbbe027c4fd7f8e99,false,80,USRC11300686,,2025-05-16T02:04:40Z
spotify:track:2ISSQPb9LHHiV6ng2NXosL,Beautiful Now,"spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:50JJSqHUf2RQ9xsHs0KMHg","Zedd, Jon Bellion",spotify:album:4jKdXIJckKh7la6xHuKwRT,True Colors,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,Zedd,2015-05-15,https://i.scdn.co/image/ab67616d0000b273d040bc5b46915b49a64d7b1d,1,3,218293,,false,70,USUM71505090,,2025-05-16T02:03:40Z
